epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,1604.65,0.89533,0.65907,0.99423,0.87085,0.64487,0.70188,0.43413,1.3997,1.16538,1.22314,0.000144161,0.000144161,0.000144161
78,1644.31,0.90473,0.66139,0.99566,0.87141,0.65867,0.70722,0.43431,1.39575,1.14941,1.2191,0.000133695,0.000133695,0.000133695
79,1684,0.89339,0.65729,0.99167,0.8572,0.65893,0.69784,0.43099,1.39848,1.17439,1.22153,0.000123596,0.000123596,0.000123596
80,1723.88,0.87363,0.64196,0.97949,0.8673,0.63811,0.69196,0.42763,1.40719,1.15039,1.22922,0.000113873,0.000113873,0.000113873
81,1763.95,0.85765,0.62633,0.97529,0.86535,0.65142,0.70664,0.43204,1.4019,1.15607,1.22639,0.000104537,0.000104537,0.000104537
82,1803.72,0.87555,0.63862,0.98147,0.85978,0.65691,0.70309,0.43336,1.39465,1.14391,1.22498,9.55951e-05,9.55951e-05,9.55951e-05
83,1843.57,0.8561,0.6198,0.97165,0.8517,0.65625,0.70058,0.43484,1.38646,1.13879,1.21839,8.70577e-05,8.70577e-05,8.70577e-05
84,1883.47,0.86072,0.63074,0.97835,0.86388,0.6476,0.69722,0.43272,1.41692,1.16465,1.24034,7.89327e-05,7.89327e-05,7.89327e-05
85,1929.8,0.85434,0.62991,0.97601,0.85932,0.66057,0.70808,0.44042,1.3881,1.14321,1.22381,7.12282e-05,7.12282e-05,7.12282e-05
86,1981.97,0.85604,0.63361,0.97764,0.88663,0.64784,0.70309,0.43216,1.40331,1.14778,1.22466,6.39518e-05,6.39518e-05,6.39518e-05
87,2030.98,0.85197,0.62107,0.97379,0.84767,0.67727,0.70718,0.43462,1.39043,1.13835,1.22685,5.71106e-05,5.71106e-05,5.71106e-05
